SampleID	Reference	Type	n_mapped	pct_mapped
P12653_1001	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1001	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1002	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1002	TorqueTenoVirus	25-Mf-TTV9	56	0.00
P12653_1003	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1003	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1004	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1004	TorqueTenoVirus	25-Mf-TTV9	189	0.00
P12653_1005	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1005	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1006	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12653_1006	TorqueTenoVirus	25-Mf-TTV9	390	0.01
P12752_1001	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1001	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1002	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1002	TorqueTenoVirus	25-Mf-TTV9	54	0.00
P12752_1003	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1003	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1004	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1004	TorqueTenoVirus	25-Mf-TTV9	2	0.00
P12752_1005	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1005	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1006	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1006	TorqueTenoVirus	25-Mf-TTV9	23	0.00
P12752_1007	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1007	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1008	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1008	TorqueTenoVirus	25-Mf-TTV9	20	0.00
P12752_1009	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1009	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1009	TorqueTenoVirus	25-Mf-TTV9	0	0.00
P12752_1009	TorqueTenoVirus	25-Mf-TTV9	0	0.00
