SampleID	Reference	Type	n_mapped	pct_mapped
P12653_1001	TorqueTenoVirus	14-CH65-1	0	0.00
P12653_1001	TorqueTenoVirus	14-CH65-1	0	0.00
P12653_1002	TorqueTenoVirus	14-CH65-1	22231	0.97
P12653_1002	TorqueTenoVirus	14-CH65-1	4	0.07
P12653_1003	TorqueTenoVirus	14-CH65-1	0	0.00
P12653_1003	TorqueTenoVirus	14-CH65-1	12	0.13
P12653_1004	TorqueTenoVirus	14-CH65-1	49	0.42
P12653_1004	TorqueTenoVirus	14-CH65-1	89334	1.62
P12653_1005	TorqueTenoVirus	14-CH65-1	0	0.00
P12653_1005	TorqueTenoVirus	14-CH65-1	15	0.02
P12653_1006	TorqueTenoVirus	14-CH65-1	183217	2.94
P12653_1006	TorqueTenoVirus	14-CH65-1	51	0.63
P12752_1001	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1001	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1002	TorqueTenoVirus	14-CH65-1	12	0.41
P12752_1002	TorqueTenoVirus	14-CH65-1	54734	1.32
P12752_1003	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1003	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1004	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1004	TorqueTenoVirus	14-CH65-1	1615	0.58
P12752_1005	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1005	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1006	TorqueTenoVirus	14-CH65-1	17269	0.84
P12752_1006	TorqueTenoVirus	14-CH65-1	5	0.23
P12752_1007	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1007	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1008	TorqueTenoVirus	14-CH65-1	2	0.01
P12752_1008	TorqueTenoVirus	14-CH65-1	8408	0.14
P12752_1009	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1009	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1009	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1009	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1010	TorqueTenoVirus	14-CH65-1	24031	1.27
P12752_1010	TorqueTenoVirus	14-CH65-1	3	0.06
P12752_1011	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1011	TorqueTenoVirus	14-CH65-1	2	0.00
P12752_1012	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1012	TorqueTenoVirus	14-CH65-1	113	0.88
P12752_1013	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1013	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1014	TorqueTenoVirus	14-CH65-1	3023	0.75
P12752_1014	TorqueTenoVirus	14-CH65-1	5	0.61
P12752_1015	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1015	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1016	TorqueTenoVirus	14-CH65-1	19	0.19
P12752_1016	TorqueTenoVirus	14-CH65-1	51155	0.97
P12752_1017	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1017	TorqueTenoVirus	14-CH65-1	2	0.01
P12752_1018	TorqueTenoVirus	14-CH65-1	26	0.20
P12752_1018	TorqueTenoVirus	14-CH65-1	44859	1.16
P12752_1019	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1019	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1020	TorqueTenoVirus	14-CH65-1	2	0.02
P12752_1020	TorqueTenoVirus	14-CH65-1	6417	0.17
P12752_1021	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1021	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1022	TorqueTenoVirus	14-CH65-1	2	0.31
P12752_1022	TorqueTenoVirus	14-CH65-1	5715	1.60
P12752_1023	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1023	TorqueTenoVirus	14-CH65-1	5	0.01
P12752_1024	TorqueTenoVirus	14-CH65-1	35	0.53
P12752_1024	TorqueTenoVirus	14-CH65-1	57090	1.56
P12752_1025	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1025	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1026	TorqueTenoVirus	14-CH65-1	32	0.43
P12752_1026	TorqueTenoVirus	14-CH65-1	52826	1.09
P12752_1027	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1027	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1028	TorqueTenoVirus	14-CH65-1	12589	0.64
P12752_1028	TorqueTenoVirus	14-CH65-1	13	0.41
P12752_1029	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1029	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1030	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1030	TorqueTenoVirus	14-CH65-1	103	0.55
P12752_1031	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1031	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1032	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1032	TorqueTenoVirus	14-CH65-1	20	0.97
P12752_1033	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1033	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1034	TorqueTenoVirus	14-CH65-1	21595	0.63
P12752_1034	TorqueTenoVirus	14-CH65-1	4	0.06
P12752_1035	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1035	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1036	TorqueTenoVirus	14-CH65-1	15	0.18
P12752_1036	TorqueTenoVirus	14-CH65-1	61364	0.59
P12752_1037	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1037	TorqueTenoVirus	14-CH65-1	2	0.00
P12752_1038	TorqueTenoVirus	14-CH65-1	100712	1.37
P12752_1038	TorqueTenoVirus	14-CH65-1	74	0.49
P12752_1039	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1039	TorqueTenoVirus	14-CH65-1	1	0.00
P12752_1040	TorqueTenoVirus	14-CH65-1	30802	0.80
P12752_1040	TorqueTenoVirus	14-CH65-1	7	0.10
P12752_1041	TorqueTenoVirus	14-CH65-1	1	0.00
P12752_1041	TorqueTenoVirus	14-CH65-1	1	0.00
P12752_1042	TorqueTenoVirus	14-CH65-1	0	0.00
P12752_1042	TorqueTenoVirus	14-CH65-1	0	0.00
P12653_1001	TorqueTenoVirus	15-TJN01	0	0.00
P12653_1001	TorqueTenoVirus	15-TJN01	0	0.00
P12653_1002	TorqueTenoVirus	15-TJN01	184061	8.00
P12653_1002	TorqueTenoVirus	15-TJN01	549	9.82
P12653_1003	TorqueTenoVirus	15-TJN01	0	0.00
P12653_1003	TorqueTenoVirus	15-TJN01	2	0.02
P12653_1004	TorqueTenoVirus	15-TJN01	2054	17.77
P12653_1004	TorqueTenoVirus	15-TJN01	530032	9.62
P12653_1005	TorqueTenoVirus	15-TJN01	0	0.00
P12653_1005	TorqueTenoVirus	15-TJN01	22	0.03
P12653_1006	TorqueTenoVirus	15-TJN01	281	3.47
P12653_1006	TorqueTenoVirus	15-TJN01	572185	9.19
P12752_1001	TorqueTenoVirus	15-TJN01	0	0.00
P12752_1001	TorqueTenoVirus	15-TJN01	0	0.00
P12752_1002	TorqueTenoVirus	15-TJN01	261	8.98
P12752_1002	TorqueTenoVirus	15-TJN01	267751	6.44
P12752_1003	TorqueTenoVirus	15-TJN01	0	0.00
