SampleID	Reference	Type	n_mapped	pct_mapped
P12653_1001	TorqueTenoVirus	21-TCHN-B	0	0.00
P12653_1001	TorqueTenoVirus	21-TCHN-B	0	0.00
P12653_1002	TorqueTenoVirus	21-TCHN-B	104722	4.55
P12653_1002	TorqueTenoVirus	21-TCHN-B	49	0.88
P12653_1003	TorqueTenoVirus	21-TCHN-B	0	0.00
P12653_1003	TorqueTenoVirus	21-TCHN-B	11	0.12
P12653_1004	TorqueTenoVirus	21-TCHN-B	144	1.25
P12653_1004	TorqueTenoVirus	21-TCHN-B	270826	4.92
P12653_1005	TorqueTenoVirus	21-TCHN-B	0	0.00
P12653_1005	TorqueTenoVirus	21-TCHN-B	24	0.03
P12653_1006	TorqueTenoVirus	21-TCHN-B	405316	6.51
P12653_1006	TorqueTenoVirus	21-TCHN-B	99	1.22
P12752_1001	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1001	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1002	TorqueTenoVirus	21-TCHN-B	183026	4.40
P12752_1002	TorqueTenoVirus	21-TCHN-B	24	0.83
P12752_1003	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1003	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1004	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1004	TorqueTenoVirus	21-TCHN-B	4628	1.66
P12752_1005	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1005	TorqueTenoVirus	21-TCHN-B	1	0.01
P12752_1006	TorqueTenoVirus	21-TCHN-B	104309	5.05
P12752_1006	TorqueTenoVirus	21-TCHN-B	23	1.08
P12752_1007	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1007	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1008	TorqueTenoVirus	21-TCHN-B	10	0.06
P12752_1008	TorqueTenoVirus	21-TCHN-B	29030	0.50
P12752_1009	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1009	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1009	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1009	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1010	TorqueTenoVirus	21-TCHN-B	42	0.83
P12752_1010	TorqueTenoVirus	21-TCHN-B	82272	4.34
P12752_1011	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1011	TorqueTenoVirus	21-TCHN-B	4	0.00
P12752_1012	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1012	TorqueTenoVirus	21-TCHN-B	240	1.86
P12752_1013	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1013	TorqueTenoVirus	21-TCHN-B	8	0.01
P12752_1014	TorqueTenoVirus	21-TCHN-B	13355	3.33
P12752_1014	TorqueTenoVirus	21-TCHN-B	5	0.61
P12752_1015	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1015	TorqueTenoVirus	21-TCHN-B	2	0.00
P12752_1016	TorqueTenoVirus	21-TCHN-B	100	1.00
P12752_1016	TorqueTenoVirus	21-TCHN-B	236620	4.50
P12752_1017	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1017	TorqueTenoVirus	21-TCHN-B	2	0.01
P12752_1018	TorqueTenoVirus	21-TCHN-B	108	0.83
P12752_1018	TorqueTenoVirus	21-TCHN-B	187588	4.86
P12752_1019	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1019	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1020	TorqueTenoVirus	21-TCHN-B	29028	0.77
P12752_1020	TorqueTenoVirus	21-TCHN-B	7	0.06
P12752_1021	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1021	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1022	TorqueTenoVirus	21-TCHN-B	12	1.86
P12752_1022	TorqueTenoVirus	21-TCHN-B	18770	5.25
P12752_1023	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1023	TorqueTenoVirus	21-TCHN-B	17	0.04
P12752_1024	TorqueTenoVirus	21-TCHN-B	146203	4.00
P12752_1024	TorqueTenoVirus	21-TCHN-B	65	0.99
P12752_1025	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1025	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1026	TorqueTenoVirus	21-TCHN-B	186383	3.85
P12752_1026	TorqueTenoVirus	21-TCHN-B	59	0.80
P12752_1027	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1027	TorqueTenoVirus	21-TCHN-B	2	0.00
P12752_1028	TorqueTenoVirus	21-TCHN-B	30	0.94
P12752_1028	TorqueTenoVirus	21-TCHN-B	66295	3.37
P12752_1029	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1029	TorqueTenoVirus	21-TCHN-B	2	0.00
P12752_1030	TorqueTenoVirus	21-TCHN-B	1	2.78
P12752_1030	TorqueTenoVirus	21-TCHN-B	728	3.88
P12752_1031	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1031	TorqueTenoVirus	21-TCHN-B	3	0.00
P12752_1032	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1032	TorqueTenoVirus	21-TCHN-B	49	2.38
P12752_1033	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1033	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1034	TorqueTenoVirus	21-TCHN-B	44	0.63
P12752_1034	TorqueTenoVirus	21-TCHN-B	84052	2.45
P12752_1035	TorqueTenoVirus	21-TCHN-B	0	0.00
P12752_1035	TorqueTenoVirus	21-TCHN-B	2	0.00
P12752_1036	TorqueTenoVirus	21-TCHN-B	116	1.36
