SampleID	Reference	Type	n_mapped	pct_mapped
P12653_1001	TorqueTenoVirus	7-PMV	1	0.80
P12653_1001	TorqueTenoVirus	7-PMV	4	0.10
P12653_1002	TorqueTenoVirus	7-PMV	231722	10.07
P12653_1002	TorqueTenoVirus	7-PMV	589	10.54
P12653_1003	TorqueTenoVirus	7-PMV	0	0.00
P12653_1003	TorqueTenoVirus	7-PMV	20	0.21
P12653_1004	TorqueTenoVirus	7-PMV	1788	15.47
P12653_1004	TorqueTenoVirus	7-PMV	602147	10.93
P12653_1005	TorqueTenoVirus	7-PMV	1	0.19
P12653_1005	TorqueTenoVirus	7-PMV	55	0.07
P12653_1006	TorqueTenoVirus	7-PMV	1251701	20.10
P12653_1006	TorqueTenoVirus	7-PMV	662	8.16
P12752_1001	TorqueTenoVirus	7-PMV	0	0.00
P12752_1001	TorqueTenoVirus	7-PMV	1	0.00
P12752_1002	TorqueTenoVirus	7-PMV	212	7.29
P12752_1002	TorqueTenoVirus	7-PMV	338492	8.14
P12752_1003	TorqueTenoVirus	7-PMV	0	0.00
P12752_1003	TorqueTenoVirus	7-PMV	0	0.00
P12752_1004	TorqueTenoVirus	7-PMV	16	3.13
P12752_1004	TorqueTenoVirus	7-PMV	9972	3.58
P12752_1005	TorqueTenoVirus	7-PMV	0	0.00
P12752_1005	TorqueTenoVirus	7-PMV	2	0.03
P12752_1006	TorqueTenoVirus	7-PMV	212409	10.28
P12752_1006	TorqueTenoVirus	7-PMV	285	13.37
P12752_1007	TorqueTenoVirus	7-PMV	0	0.00
P12752_1007	TorqueTenoVirus	7-PMV	0	0.00
P12752_1008	TorqueTenoVirus	7-PMV	24	0.15
P12752_1008	TorqueTenoVirus	7-PMV	35190	0.61
P12752_1009	TorqueTenoVirus	7-PMV	0	0.00
P12752_1009	TorqueTenoVirus	7-PMV	0	0.00
P12752_1009	TorqueTenoVirus	7-PMV	0	0.00
P12752_1009	TorqueTenoVirus	7-PMV	0	0.00
P12752_1010	TorqueTenoVirus	7-PMV	130254	6.87
P12752_1010	TorqueTenoVirus	7-PMV	293	5.79
P12752_1011	TorqueTenoVirus	7-PMV	0	0.00
P12752_1011	TorqueTenoVirus	7-PMV	10	0.00
P12752_1012	TorqueTenoVirus	7-PMV	1	2.94
P12752_1012	TorqueTenoVirus	7-PMV	816	6.33
P12752_1013	TorqueTenoVirus	7-PMV	0	0.00
P12752_1013	TorqueTenoVirus	7-PMV	13	0.02
P12752_1014	TorqueTenoVirus	7-PMV	28419	7.10
P12752_1014	TorqueTenoVirus	7-PMV	75	9.20
P12752_1015	TorqueTenoVirus	7-PMV	0	0.00
P12752_1015	TorqueTenoVirus	7-PMV	2	0.00
P12752_1016	TorqueTenoVirus	7-PMV	1461	14.61
P12752_1016	TorqueTenoVirus	7-PMV	489288	9.30
P12752_1017	TorqueTenoVirus	7-PMV	0	0.00
P12752_1017	TorqueTenoVirus	7-PMV	8	0.03
P12752_1018	TorqueTenoVirus	7-PMV	320354	8.29
P12752_1018	TorqueTenoVirus	7-PMV	937	7.19
P12752_1019	TorqueTenoVirus	7-PMV	0	0.00
P12752_1019	TorqueTenoVirus	7-PMV	0	0.00
P12752_1020	TorqueTenoVirus	7-PMV	151	1.24
P12752_1020	TorqueTenoVirus	7-PMV	59007	1.57
P12752_1021	TorqueTenoVirus	7-PMV	0	0.00
P12752_1021	TorqueTenoVirus	7-PMV	3	0.00
P12752_1022	TorqueTenoVirus	7-PMV	28430	7.96
P12752_1022	TorqueTenoVirus	7-PMV	72	11.18
P12752_1023	TorqueTenoVirus	7-PMV	1	0.22
P12752_1023	TorqueTenoVirus	7-PMV	39	0.09
P12752_1024	TorqueTenoVirus	7-PMV	469851	12.84
P12752_1024	TorqueTenoVirus	7-PMV	674	10.26
P12752_1025	TorqueTenoVirus	7-PMV	0	0.00
P12752_1025	TorqueTenoVirus	7-PMV	1	0.03
P12752_1026	TorqueTenoVirus	7-PMV	371091	7.66
P12752_1026	TorqueTenoVirus	7-PMV	788	10.65
P12752_1027	TorqueTenoVirus	7-PMV	0	0.00
P12752_1027	TorqueTenoVirus	7-PMV	0	0.00
P12752_1028	TorqueTenoVirus	7-PMV	113316	5.77
P12752_1028	TorqueTenoVirus	7-PMV	381	11.95
P12752_1029	TorqueTenoVirus	7-PMV	0	0.00
P12752_1029	TorqueTenoVirus	7-PMV	2	0.00
P12752_1030	TorqueTenoVirus	7-PMV	1527	8.15
P12752_1030	TorqueTenoVirus	7-PMV	2	5.56
P12752_1031	TorqueTenoVirus	7-PMV	0	0.00
P12752_1031	TorqueTenoVirus	7-PMV	4	0.00
P12752_1032	TorqueTenoVirus	7-PMV	108	5.24
P12752_1032	TorqueTenoVirus	7-PMV	1	100.00
P12752_1033	TorqueTenoVirus	7-PMV	0	0.00
P12752_1033	TorqueTenoVirus	7-PMV	2	0.00
P12752_1034	TorqueTenoVirus	7-PMV	129520	3.78
P12752_1034	TorqueTenoVirus	7-PMV	170	2.45
P12752_1035	TorqueTenoVirus	7-PMV	1	0.10
P12752_1035	TorqueTenoVirus	7-PMV	2	0.00
P12752_1036	TorqueTenoVirus	7-PMV	1554	18.24
P12752_1036	TorqueTenoVirus	7-PMV	530798	5.09
P12752_1037	TorqueTenoVirus	7-PMV	0	0.00
P12752_1037	TorqueTenoVirus	7-PMV	9	0.01
P12752_1038	TorqueTenoVirus	7-PMV	1960	13.11
P12752_1038	TorqueTenoVirus	7-PMV	536662	7.31
P12752_1039	TorqueTenoVirus	7-PMV	0	0.00
P12752_1039	TorqueTenoVirus	7-PMV	17	0.06
P12752_1040	TorqueTenoVirus	7-PMV	268597	6.95
P12752_1040	TorqueTenoVirus	7-PMV	904	12.76
P12752_1041	TorqueTenoVirus	7-PMV	2	0.00
P12752_1041	TorqueTenoVirus	7-PMV	2	0.01
P12752_1042	TorqueTenoVirus	7-PMV	0	0.00
P12752_1042	TorqueTenoVirus	7-PMV	4	0.03
P12653_1001	TorqueTenoVirus	8-Kt-08F	0	0.00
P12653_1001	TorqueTenoVirus	8-Kt-08F	2	0.05
